incident_id,created_at,resolved_at,severity,category,team_assigned,closed_code,resolution_time_hour,shift,hour,day_of_week,month,priority,sla_breach
INC0003021,3/7/2016 4:32,3/11/2016 11:34,2 - Medium,Category 20,Group 25,code 6,103.0333333,Night,4,Monday,March    ,P2-High,Yes
INC0003022,3/7/2016 4:47,3/23/2016 14:46,2 - Medium,Category 37,Group 48,code 8,393.9833333,Night,4,Monday,March    ,P2-High,Yes
INC0003023,3/7/2016 5:13,3/7/2016 10:15,2 - Medium,Category 55,Group 65,code 7,5.033333333,Night,5,Monday,March    ,P2-High,No
INC0003025,3/7/2016 5:16,3/15/2016 10:57,2 - Medium,Category 55,Group 65,code 6,197.6833333,Night,5,Monday,March    ,P2-High,Yes
INC0003027,3/7/2016 5:51,3/18/2016 10:31,2 - Medium,Category 26,Group 70,code 9,268.6666667,Night,5,Monday,March    ,P2-High,Yes
INC0003029,3/7/2016 6:14,3/10/2016 15:35,2 - Medium,Category 61,Group 73,code 6,81.35,Night,6,Monday,March    ,P2-High,No
INC0003035,3/7/2016 6:54,3/8/2016 10:48,2 - Medium,Category 45,Group 70,code 6,27.9,Night,6,Monday,March    ,P2-High,No
INC0003036,3/7/2016 7:00,3/9/2016 11:34,2 - Medium,Category 20,Group 70,code 8,52.56666667,Morning,7,Monday,March    ,P2-High,No
INC0003037,3/7/2016 7:05,3/7/2016 7:17,2 - Medium,Category 45,Group 70,code 6,0.2,Morning,7,Monday,March    ,P2-High,No
INC0003038,3/7/2016 7:37,3/7/2016 7:53,2 - Medium,Category 45,Group 70,code 6,0.266666667,Morning,7,Monday,March    ,P2-High,No
INC0003041,3/7/2016 7:46,3/7/2016 7:51,2 - Medium,Category 45,Group 70,code 6,0.083333333,Morning,7,Monday,March    ,P2-High,No
INC0003044,3/7/2016 8:00,3/7/2016 8:07,3 - Low,Category 45,Group 70,code 7,0.116666667,Morning,8,Monday,March    ,P3-Medium,No
INC0003045,3/7/2016 8:02,3/21/2016 9:13,2 - Medium,Category 26,Group 70,code 7,337.1833333,Morning,8,Monday,March    ,P2-High,Yes
INC0003046,3/7/2016 8:07,3/7/2016 8:12,2 - Medium,Category 32,Group 70,code 6,0.083333333,Morning,8,Monday,March    ,P2-High,No
INC0003047,3/7/2016 8:07,3/9/2016 1:02,2 - Medium,Category 44,Group 70,code 6,40.91666667,Morning,8,Monday,March    ,P2-High,No
INC0003048,3/7/2016 8:07,5/3/2016 10:51,3 - Low,Category 22,Group 75,code 16,1370.733333,Morning,8,Monday,March    ,P3-Medium,Yes
INC0003049,3/7/2016 8:10,3/17/2016 12:28,2 - Medium,Category 53,Group 76,code 3,244.3,Morning,8,Monday,March    ,P2-High,Yes
INC0003050,3/7/2016 8:13,3/9/2016 9:18,2 - Medium,Category 26,Group 70,code 7,49.08333333,Morning,8,Monday,March    ,P2-High,No
INC0003052,3/7/2016 8:13,3/7/2016 8:19,3 - Low,Category 45,Group 70,code 7,0.1,Morning,8,Monday,March    ,P3-Medium,No
INC0003053,3/7/2016 8:14,3/7/2016 9:16,2 - Medium,Category 45,Group 55,code 7,1.033333333,Morning,8,Monday,March    ,P2-High,No
INC0003054,3/7/2016 8:16,3/10/2016 16:38,2 - Medium,Category 37,Group 70,code 6,80.36666667,Morning,8,Monday,March    ,P2-High,No
INC0003055,3/7/2016 8:16,3/17/2016 12:54,2 - Medium,Category 40,Group 70,code 6,244.6333333,Morning,8,Monday,March    ,P2-High,Yes
INC0003056,3/7/2016 8:18,3/7/2016 11:53,2 - Medium,Category 40,Group 70,code 6,3.583333333,Morning,8,Monday,March    ,P2-High,No
INC0003057,3/7/2016 8:19,3/10/2016 14:00,3 - Low,Category 23,Group 70,code 11,77.68333333,Morning,8,Monday,March    ,P3-Medium,No
INC0003058,3/7/2016 8:20,3/18/2016 9:16,1 - High,Category 53,Group 65,code 7,264.9333333,Morning,8,Monday,March    ,P1-Critical,Yes
INC0006534,3/14/2016 10:13,3/17/2016 11:14,2 - Medium,Category 57,Group 76,code 6,73.01666667,Morning,10,Monday,March    ,P2-High,No
INC0003059,3/7/2016 8:20,3/7/2016 21:15,2 - Medium,Category 23,Group 70,code 7,12.91666667,Morning,8,Monday,March    ,P2-High,No
INC0003061,3/7/2016 8:20,3/10/2016 11:16,2 - Medium,Category 53,Group 76,code 1,74.93333333,Morning,8,Monday,March    ,P2-High,No
INC0003062,3/7/2016 8:24,3/7/2016 8:51,2 - Medium,Category 45,Group 70,code 6,0.45,Morning,8,Monday,March    ,P2-High,No
INC0000831,3/1/2016 16:09,3/22/2016 15:19,2 - Medium,Category 37,Group 48,code 8,503.1666667,Evening,16,Tuesday,March    ,P2-High,Yes
INC0000832,3/1/2016 16:10,3/9/2016 9:52,2 - Medium,Category 26,Group 20,code 6,185.7,Evening,16,Tuesday,March    ,P2-High,Yes
INC0003063,3/7/2016 8:25,3/8/2016 0:33,2 - Medium,Category 45,Group 70,code 10,16.13333333,Morning,8,Monday,March    ,P2-High,No
INC0003064,3/7/2016 8:25,3/9/2016 9:26,2 - Medium,Category 26,Group 70,code 7,49.01666667,Morning,8,Monday,March    ,P2-High,No
INC0003065,3/7/2016 8:26,3/17/2016 8:43,2 - Medium,Category 61,Group 74,code 6,240.2833333,Morning,8,Monday,March    ,P2-High,Yes
INC0003066,3/7/2016 8:28,3/17/2016 10:04,2 - Medium,Category 26,Group 70,code 6,241.6,Morning,8,Monday,March    ,P2-High,Yes
INC0003067,3/7/2016 8:28,3/9/2016 9:47,2 - Medium,Category 40,Group 70,code 7,49.31666667,Morning,8,Monday,March    ,P2-High,No
INC0003069,3/7/2016 8:29,3/7/2016 8:34,2 - Medium,Category 45,Group 70,code 10,0.083333333,Morning,8,Monday,March    ,P2-High,No
INC0003071,3/7/2016 8:31,3/23/2016 15:32,2 - Medium,Category 53,Group 25,code 6,391.0166667,Morning,8,Monday,March    ,P2-High,Yes
INC0003072,3/7/2016 8:33,3/10/2016 11:34,3 - Low,Category 53,Group 70,code 7,75.01666667,Morning,8,Monday,March    ,P3-Medium,No
INC0003073,3/7/2016 8:34,3/15/2016 11:06,2 - Medium,Category 40,Group 70,code 6,194.5333333,Morning,8,Monday,March    ,P2-High,Yes
INC0003074,3/7/2016 8:36,3/7/2016 11:48,2 - Medium,Category 61,Group 28,code 6,3.2,Morning,8,Monday,March    ,P2-High,No
INC0003075,3/7/2016 8:36,3/9/2016 15:19,2 - Medium,Category 61,Group 74,code 6,54.71666667,Morning,8,Monday,March    ,P2-High,No
INC0003077,3/7/2016 8:37,3/9/2016 9:43,2 - Medium,Category 26,Group 70,code 7,49.1,Morning,8,Monday,March    ,P2-High,No
INC0003078,3/7/2016 8:38,3/15/2016 10:05,2 - Medium,Category 26,Group 72,code 6,193.45,Morning,8,Monday,March    ,P2-High,Yes
INC0003080,3/7/2016 8:38,3/7/2016 8:50,2 - Medium,Category 45,Group 70,code 6,0.2,Morning,8,Monday,March    ,P2-High,No
INC0003081,3/7/2016 8:40,3/16/2016 15:33,2 - Medium,Category 37,Group 47,code 6,222.8833333,Morning,8,Monday,March    ,P2-High,Yes
INC0003083,3/7/2016 8:41,3/12/2016 10:36,2 - Medium,Category 32,Group 70,code 6,121.9166667,Morning,8,Monday,March    ,P2-High,Yes
INC0003084,3/7/2016 8:42,3/14/2016 9:16,2 - Medium,Category 24,Group 73,code 9,168.5666667,Morning,8,Monday,March    ,P2-High,Yes
INC0003085,3/7/2016 8:43,3/9/2016 0:35,2 - Medium,Category 45,Group 70,code 7,39.86666667,Morning,8,Monday,March    ,P2-High,No
INC0002141,3/3/2016 17:31,3/7/2016 17:10,2 - Medium,Category 53,Group 70,code 6,95.65,Evening,17,Thursday,March    ,P2-High,Yes
INC0003017,3/7/2016 2:06,3/22/2016 5:58,2 - Medium,Category 37,Group 70,code 6,363.8666667,Night,2,Monday,March    ,P2-High,Yes
INC0002336,3/4/2016 9:56,6/28/2016 9:34,3 - Low,Category 34,Group 9,code 5,2783.633333,Morning,9,Friday,March    ,P3-Medium,Yes
INC0003088,3/7/2016 8:46,3/7/2016 9:11,2 - Medium,Category 22,Group 72,code 16,0.416666667,Morning,8,Monday,March    ,P2-High,No
INC0003089,3/7/2016 8:47,3/22/2016 13:48,3 - Low,Category 55,Group 70,code 1,365.0166667,Morning,8,Monday,March    ,P3-Medium,Yes
INC0003091,3/7/2016 8:47,3/22/2016 15:42,2 - Medium,Category 23,Group 70,code 6,366.9166667,Morning,8,Monday,March    ,P2-High,Yes
INC0003092,3/7/2016 8:48,4/15/2016 11:33,1 - High,Category 26,Group 72,code 7,938.75,Morning,8,Monday,March    ,P1-Critical,Yes
INC0003093,3/7/2016 8:48,3/10/2016 11:36,2 - Medium,Category 40,Group 74,code 6,74.8,Morning,8,Monday,March    ,P2-High,No
INC0003095,3/7/2016 8:48,3/8/2016 1:06,2 - Medium,Category 44,Group 70,code 6,16.3,Morning,8,Monday,March    ,P2-High,No
INC0003096,3/7/2016 8:49,3/8/2016 11:24,2 - Medium,Category 13,Group 25,code 6,26.58333333,Morning,8,Monday,March    ,P2-High,No
INC0003098,3/7/2016 8:52,3/7/2016 9:50,2 - Medium,Category 53,Group 70,code 6,0.966666667,Morning,8,Monday,March    ,P2-High,No
INC0003100,3/7/2016 8:54,3/16/2016 10:15,2 - Medium,Category 26,Group 70,code 6,217.35,Morning,8,Monday,March    ,P2-High,Yes
INC0003101,3/7/2016 8:55,3/9/2016 14:14,2 - Medium,Category 40,Group 70,code 6,53.31666667,Morning,8,Monday,March    ,P2-High,No
INC0003103,3/7/2016 8:56,3/7/2016 9:27,3 - Low,Category 23,Group 72,code 16,0.516666667,Morning,8,Monday,March    ,P3-Medium,No
INC0003104,3/7/2016 8:56,3/7/2016 13:29,2 - Medium,Category 9,Group 28,code 6,4.55,Morning,8,Monday,March    ,P2-High,No
INC0003105,3/7/2016 8:57,3/8/2016 1:16,2 - Medium,Category 45,Group 70,code 6,16.31666667,Morning,8,Monday,March    ,P2-High,No
INC0003106,3/7/2016 8:59,3/9/2016 10:13,2 - Medium,Category 40,Group 70,code 6,49.23333333,Morning,8,Monday,March    ,P2-High,No
INC0003107,3/7/2016 9:01,3/17/2016 10:00,2 - Medium,Category 23,Group 70,code 11,240.9833333,Morning,9,Monday,March    ,P2-High,Yes
INC0003109,3/7/2016 9:01,3/17/2016 8:14,2 - Medium,Category 32,Group 70,code 6,239.2166667,Morning,9,Monday,March    ,P2-High,Yes
INC0003110,3/7/2016 9:02,3/17/2016 9:38,2 - Medium,Category 40,Group 70,code 6,240.6,Morning,9,Monday,March    ,P2-High,Yes
INC0003111,3/7/2016 9:03,3/7/2016 16:59,2 - Medium,Category 42,Group 43,code 6,7.933333333,Morning,9,Monday,March    ,P2-High,No
INC0003112,3/7/2016 9:03,3/14/2016 14:37,2 - Medium,Category 53,Group 70,code 6,173.5666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003113,3/7/2016 9:03,3/7/2016 9:11,2 - Medium,Category 45,Group 70,code 6,0.133333333,Morning,9,Monday,March    ,P2-High,No
INC0003114,3/7/2016 9:04,3/7/2016 11:14,2 - Medium,Category 34,Group 27,code 11,2.166666667,Morning,9,Monday,March    ,P2-High,No
INC0003116,3/7/2016 9:04,3/24/2016 15:56,2 - Medium,Category 40,Group 70,code 5,414.8666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003119,3/7/2016 9:07,3/16/2016 10:23,2 - Medium,Category 26,Group 70,code 6,217.2666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003122,3/7/2016 9:10,3/7/2016 10:59,3 - Low,Category 24,Group 25,code 9,1.816666667,Morning,9,Monday,March    ,P3-Medium,No
INC0003123,3/7/2016 9:11,3/22/2016 15:15,2 - Medium,Category 40,Group 70,code 1,366.0666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003124,3/7/2016 9:11,3/7/2016 22:16,2 - Medium,Category 45,Group 70,code 6,13.08333333,Morning,9,Monday,March    ,P2-High,No
INC0003125,3/7/2016 9:11,3/17/2016 9:25,2 - Medium,Category 40,Group 70,code 6,240.2333333,Morning,9,Monday,March    ,P2-High,Yes
INC0003126,3/7/2016 9:11,3/9/2016 9:57,2 - Medium,Category 32,Group 70,code 7,48.76666667,Morning,9,Monday,March    ,P2-High,No
INC0003127,3/7/2016 9:11,3/17/2016 14:45,2 - Medium,Category 23,Group 77,code 6,245.5666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003129,3/7/2016 9:11,3/7/2016 11:47,2 - Medium,Category 53,Group 28,code 6,2.6,Morning,9,Monday,March    ,P2-High,No
INC0003132,3/7/2016 9:12,3/7/2016 11:05,2 - Medium,Category 45,Group 39,code 6,1.883333333,Morning,9,Monday,March    ,P2-High,No
INC0003133,3/7/2016 9:13,3/17/2016 9:28,2 - Medium,Category 26,Group 70,code 6,240.25,Morning,9,Monday,March    ,P2-High,Yes
INC0003136,3/7/2016 9:17,3/16/2016 9:33,2 - Medium,Category 26,Group 70,code 6,216.2666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003137,3/7/2016 9:18,3/16/2016 10:25,2 - Medium,Category 23,Group 70,code 11,217.1166667,Morning,9,Monday,March    ,P2-High,Yes
INC0003140,3/7/2016 9:19,3/21/2016 11:07,2 - Medium,Category 53,Group 25,code 6,337.8,Morning,9,Monday,March    ,P2-High,Yes
INC0003141,3/7/2016 9:20,3/8/2016 12:11,2 - Medium,Category 23,Group 70,code 6,26.85,Morning,9,Monday,March    ,P2-High,No
INC0003142,3/7/2016 9:20,3/16/2016 10:55,2 - Medium,Category 37,Group 79,code 6,217.5833333,Morning,9,Monday,March    ,P2-High,Yes
INC0003144,3/7/2016 9:23,4/25/2016 11:42,2 - Medium,Category 19,Group 72,code 7,1178.316667,Morning,9,Monday,March    ,P2-High,Yes
INC0002369,3/4/2016 10:23,3/4/2016 10:51,2 - Medium,Category 26,Group 70,code 9,0.466666667,Morning,10,Friday,March    ,P2-High,No
INC0003145,3/7/2016 9:23,3/23/2016 14:46,2 - Medium,Category 9,Group 30,code 10,389.3833333,Morning,9,Monday,March    ,P2-High,Yes
INC0003148,3/7/2016 9:24,3/10/2016 10:24,2 - Medium,Category 40,Group 70,code 6,73,Morning,9,Monday,March    ,P2-High,No
INC0003150,3/7/2016 9:25,6/22/2016 12:31,2 - Medium,Category 51,Group 70,code 6,2571.1,Morning,9,Monday,March    ,P2-High,Yes
INC0003151,3/7/2016 9:25,3/11/2016 15:56,3 - Low,Category 53,Group 70,code 6,102.5166667,Morning,9,Monday,March    ,P3-Medium,No
INC0003152,3/7/2016 9:25,3/17/2016 16:34,2 - Medium,Category 61,Group 74,code 6,247.15,Morning,9,Monday,March    ,P2-High,Yes
INC0003153,3/7/2016 9:26,3/10/2016 11:43,2 - Medium,Category 23,Group 70,code 6,74.28333333,Morning,9,Monday,March    ,P2-High,No
INC0003155,3/7/2016 9:28,3/9/2016 9:01,2 - Medium,Category 26,Group 70,code 6,47.55,Morning,9,Monday,March    ,P2-High,No
INC0003160,3/7/2016 9:31,3/9/2016 16:35,2 - Medium,Category 9,Group 24,code 6,55.06666667,Morning,9,Monday,March    ,P2-High,No
INC0003161,3/7/2016 9:31,3/14/2016 9:29,2 - Medium,Category 53,Group 70,code 6,167.9666667,Morning,9,Monday,March    ,P2-High,Yes
INC0003162,3/7/2016 9:32,3/9/2016 10:28,2 - Medium,Category 40,Group 70,code 11,48.93333333,Morning,9,Monday,March    ,P2-High,No
INC0003163,3/7/2016 9:32,3/15/2016 11:24,3 - Low,Category 53,Group 70,code 5,193.8666667,Morning,9,Monday,March    ,P3-Medium,Yes
INC0003164,3/7/2016 9:33,3/8/2016 14:40,2 - Medium,Category 53,Group 70,code 9,29.11666667,Morning,9,Monday,March    ,P2-High,No
INC0003167,3/7/2016 9:34,3/7/2016 10:28,2 - Medium,Category 37,Group 29,code 6,0.9,Morning,9,Monday,March    ,P2-High,No
INC0003168,3/7/2016 9:35,4/18/2016 10:06,2 - Medium,Category 24,Group 72,code 6,1008.516667,Morning,9,Monday,March    ,P2-High,Yes
INC0003169,3/7/2016 9:35,3/29/2016 14:18,2 - Medium,Category 40,Group 72,code 6,532.7166667,Morning,9,Monday,March    ,P2-High,Yes
INC0003170,3/7/2016 9:35,3/7/2016 11:56,2 - Medium,Category 19,Group 30,code 6,2.35,Morning,9,Monday,March    ,P2-High,No
INC0003171,3/7/2016 9:35,3/16/2016 14:22,2 - Medium,Category 40,Group 70,code 7,220.7833333,Morning,9,Monday,March    ,P2-High,Yes
INC0003172,3/7/2016 9:36,3/21/2016 14:30,2 - Medium,Category 26,Group 70,code 11,340.9,Morning,9,Monday,March    ,P2-High,Yes
INC0003173,3/7/2016 9:37,3/18/2016 14:43,2 - Medium,Category 53,Group 81,code 7,269.1,Morning,9,Monday,March    ,P2-High,Yes
INC0003175,3/7/2016 9:38,3/21/2016 9:19,3 - Low,Category 53,Group 81,code 5,335.6833333,Morning,9,Monday,March    ,P3-Medium,Yes
INC0003176,3/7/2016 9:39,3/22/2016 12:18,2 - Medium,Category 23,Group 70,code 6,362.65,Morning,9,Monday,March    ,P2-High,Yes
INC0003177,3/7/2016 9:39,3/9/2016 15:24,2 - Medium,Category 9,Group 25,code 3,53.75,Morning,9,Monday,March    ,P2-High,No
INC0003178,3/7/2016 9:39,3/9/2016 10:25,2 - Medium,Category 26,Group 70,code 7,48.76666667,Morning,9,Monday,March    ,P2-High,No
INC0003179,3/7/2016 9:40,3/22/2016 12:15,2 - Medium,Category 26,Group 70,code 7,362.5833333,Morning,9,Monday,March    ,P2-High,Yes
INC0003180,3/7/2016 9:40,3/11/2016 14:22,2 - Medium,Category 24,Group 26,code 6,100.7,Morning,9,Monday,March    ,P2-High,Yes
INC0003182,3/7/2016 9:41,3/10/2016 16:37,3 - Low,Category 45,Group 33,code 1,78.93333333,Morning,9,Monday,March    ,P3-Medium,No
INC0001460,3/2/2016 16:00,3/7/2016 12:16,2 - Medium,Category 26,Group 25,code 6,116.2666667,Evening,16,Wednesday,March    ,P2-High,Yes
INC0001464,3/2/2016 16:03,3/4/2016 15:15,2 - Medium,Category 45,Group 10,code 6,47.2,Evening,16,Wednesday,March    ,P2-High,No
INC0003183,3/7/2016 9:41,3/31/2016 10:01,2 - Medium,Category 45,Group 72,code 9,576.3333333,Morning,9,Monday,March    ,P2-High,Yes
INC0003185,3/7/2016 9:41,3/7/2016 11:47,2 - Medium,Category 40,Group 70,code 6,2.1,Morning,9,Monday,March    ,P2-High,No
INC0004176,3/8/2016 11:07,3/8/2016 14:37,2 - Medium,Category 40,Group 65,code 6,3.5,Morning,11,Tuesday,March    ,P2-High,No
INC0003187,3/7/2016 9:43,3/9/2016 0:49,2 - Medium,Category 45,Group 70,code 7,39.1,Morning,9,Monday,March    ,P2-High,No
INC0000102,2/29/2016 9:06,3/17/2016 16:28,2 - Medium,Category 37,Group 70,code 4,415.3666667,Morning,9,Monday,February ,P2-High,Yes
INC0003188,3/7/2016 9:43,3/9/2016 16:03,2 - Medium,Category 61,Group 73,code 6,54.33333333,Morning,9,Monday,March    ,P2-High,No
INC0003189,3/7/2016 9:43,3/11/2016 9:58,2 - Medium,Category 32,Group 70,code 7,96.25,Morning,9,Monday,March    ,P2-High,Yes
INC0003190,3/7/2016 9:43,3/7/2016 9:59,2 - Medium,Category 45,Group 70,code 6,0.266666667,Morning,9,Monday,March    ,P2-High,No
INC0003192,3/7/2016 9:46,3/28/2016 17:16,2 - Medium,Category 40,Group 70,code 5,511.5,Morning,9,Monday,March    ,P2-High,Yes
INC0003193,3/7/2016 9:46,3/16/2016 16:53,2 - Medium,Category 26,Group 70,code 6,223.1166667,Morning,9,Monday,March    ,P2-High,Yes
