incident_id,created_at,resolved_at,severity,resolution_time_hours,root_cause,category_clean,assigned_team,shift,hour,day_of_week,month,priority
INC0000115,2016-02-29 09:20:00,2016-03-01 08:50:00,2 - Medium,23.5,Disk Space Issue,Network Issues,Network Operations Team,Morning,9,Monday,February,P2 - High
INC0000116,2016-02-29 09:20:00,2016-03-01 12:02:00,2 - Medium,26.7,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,9,Monday,February,P2 - High
INC0000119,2016-02-29 09:22:00,2016-03-01 09:03:00,2 - Medium,23.683333333333334,Disk Space Issue,Network Issues,Network Operations Team,Morning,9,Monday,February,P2 - High
INC0000121,2016-02-29 09:25:00,2016-02-29 16:31:00,2 - Medium,7.1,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000122,2016-02-29 09:27:00,2016-03-01 16:50:00,2 - Medium,31.383333333333333,Application Bug,Integration / API Issues,Integration Support Team,Morning,9,Monday,February,P2 - High
INC0000123,2016-02-29 09:29:00,2016-03-02 14:56:00,2 - Medium,53.45,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000124,2016-02-29 09:30:00,2016-02-29 11:05:00,2 - Medium,1.5833333333333333,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000125,2016-02-29 09:31:00,2016-03-01 08:32:00,2 - Medium,23.016666666666666,Data Corruption,Network Issues,Network Operations Team,Morning,9,Monday,February,P2 - High
INC0000126,2016-02-29 09:31:00,2016-03-02 14:57:00,2 - Medium,53.43333333333333,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000128,2016-02-29 09:36:00,2016-03-11 12:15:00,2 - Medium,266.65,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,9,Monday,February,P2 - High
INC0000129,2016-02-29 09:40:00,2016-03-22 13:30:00,2 - Medium,531.8333333333334,Authentication Failure,Application Errors,Application Support Team,Morning,9,Monday,February,P2 - High
INC0000130,2016-02-29 09:41:00,2016-03-03 10:16:00,2 - Medium,72.58333333333333,Authentication Failure,Monitoring / Alerting,Monitoring & DevOps Team,Morning,9,Monday,February,P2 - High
INC0000131,2016-02-29 09:41:00,2016-03-03 09:27:00,2 - Medium,71.76666666666667,Database Issue,Integration / API Issues,Integration Support Team,Morning,9,Monday,February,P2 - High
INC0000132,2016-02-29 09:42:00,2016-03-03 15:18:00,2 - Medium,77.6,Authentication Failure,Network Issues,Network Operations Team,Morning,9,Monday,February,P2 - High
INC0000134,2016-02-29 09:44:00,2016-03-03 08:21:00,3 - Low,70.61666666666666,Memory Leak,Monitoring / Alerting,Monitoring & DevOps Team,Morning,9,Monday,February,P3 - Medium
INC0000135,2016-02-29 09:45:00,2016-02-29 16:17:00,2 - Medium,6.533333333333333,Disk Space Issue,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000137,2016-02-29 09:48:00,2016-02-29 11:03:00,2 - Medium,1.25,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,9,Monday,February,P2 - High
INC0000139,2016-02-29 09:50:00,2016-03-01 09:56:00,2 - Medium,24.1,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000140,2016-02-29 09:51:00,2016-03-03 11:59:00,2 - Medium,74.13333333333334,Authentication Failure,Network Issues,Network Operations Team,Morning,9,Monday,February,P2 - High
INC0000141,2016-02-29 09:52:00,2016-03-02 14:58:00,2 - Medium,53.1,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000146,2016-02-29 09:57:00,2016-03-02 14:59:00,2 - Medium,53.03333333333333,API Timeout,Security / Access Issues,Security Operations Team,Morning,9,Monday,February,P2 - High
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,2 - Medium,335.81666666666666,Server Overload,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000148,2016-02-29 10:00:00,2016-03-02 15:00:00,2 - Medium,53.0,Network Failure,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000149,2016-02-29 10:01:00,2016-03-02 15:01:00,2 - Medium,53.0,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000152,2016-02-29 10:08:00,2016-03-03 09:23:00,2 - Medium,71.25,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000153,2016-02-29 10:10:00,2016-03-02 14:55:00,2 - Medium,52.75,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000155,2016-02-29 10:12:00,2016-03-02 15:02:00,2 - Medium,52.833333333333336,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000156,2016-02-29 10:14:00,2016-03-02 15:02:00,2 - Medium,52.8,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000158,2016-02-29 10:17:00,2016-03-02 15:06:00,2 - Medium,52.81666666666667,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000159,2016-02-29 10:17:00,2016-03-02 10:09:00,2 - Medium,47.86666666666667,Authentication Failure,Application Errors,Application Support Team,Morning,10,Monday,February,P2 - High
INC0000161,2016-02-29 10:18:00,2016-03-08 09:22:00,2 - Medium,191.06666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,10,Monday,February,P2 - High
INC0000164,2016-02-29 10:18:00,2016-03-03 14:34:00,2 - Medium,76.26666666666667,Data Corruption,Server Infrastructure,Infrastructure Operations Team,Morning,10,Monday,February,P2 - High
INC0000166,2016-02-29 10:24:00,2016-02-29 16:24:00,2 - Medium,6.0,Authentication Failure,Network Issues,Network Operations Team,Morning,10,Monday,February,P2 - High
INC0000167,2016-02-29 10:27:00,2016-02-29 11:02:00,2 - Medium,0.5833333333333334,Authentication Failure,Database Issues,Database Administration Team,Morning,10,Monday,February,P2 - High
INC0000168,2016-02-29 10:27:00,2016-03-01 09:05:00,2 - Medium,22.633333333333333,Disk Space Issue,Network Issues,Network Operations Team,Morning,10,Monday,February,P2 - High
INC0000169,2016-02-29 10:30:00,2016-03-02 15:06:00,2 - Medium,52.6,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,2 - Medium,435.18333333333334,Disk Space Issue,Application Errors,Application Support Team,Morning,10,Monday,February,P2 - High
INC0000172,2016-02-29 10:36:00,2016-02-29 18:24:00,2 - Medium,7.8,Authentication Failure,Application Errors,Application Support Team,Morning,10,Monday,February,P2 - High
INC0000173,2016-02-29 10:36:00,2016-04-11 14:49:00,3 - Low,1012.2166666666667,Network Failure,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P3 - Medium
INC0000174,2016-02-29 10:39:00,2016-03-02 13:01:00,2 - Medium,50.36666666666667,Network Failure,Server Infrastructure,Infrastructure Operations Team,Morning,10,Monday,February,P2 - High
INC0000176,2016-02-29 10:40:00,2016-03-02 15:07:00,2 - Medium,52.45,API Timeout,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000178,2016-02-29 10:45:00,2016-02-29 11:55:00,2 - Medium,1.1666666666666667,Authentication Failure,Database Issues,Database Administration Team,Morning,10,Monday,February,P2 - High
INC0000179,2016-02-29 10:46:00,2016-03-02 09:20:00,2 - Medium,46.56666666666667,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,10,Monday,February,P2 - High
INC0000192,2016-02-29 10:58:00,2016-02-29 11:02:00,2 - Medium,0.06666666666666667,API Timeout,Integration / API Issues,Integration Support Team,Morning,10,Monday,February,P2 - High
INC0000193,2016-02-29 10:59:00,2016-03-01 16:03:00,2 - Medium,29.066666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,10,Monday,February,P2 - High
INC0000194,2016-02-29 10:59:00,2016-02-29 11:11:00,2 - Medium,0.2,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,10,Monday,February,P2 - High
INC0000195,2016-02-29 11:00:00,2016-03-02 15:15:00,2 - Medium,52.25,Third-Party Service Failure,Security / Access Issues,Security Operations Team,Morning,11,Monday,February,P2 - High
INC0000197,2016-02-29 11:02:00,2016-03-31 11:13:00,2 - Medium,744.1833333333333,Disk Space Issue,Integration / API Issues,Integration Support Team,Morning,11,Monday,February,P2 - High
INC0000204,2016-02-29 11:13:00,2016-02-29 16:43:00,3 - Low,5.5,Unknown System Error,Security / Access Issues,Security Operations Team,Morning,11,Monday,February,P3 - Medium
INC0000207,2016-02-29 11:19:00,2016-02-29 20:15:00,2 - Medium,8.933333333333334,Authentication Failure,Network Issues,Network Operations Team,Morning,11,Monday,February,P2 - High
INC0000211,2016-02-29 11:23:00,2016-03-03 06:46:00,2 - Medium,67.38333333333334,Authentication Failure,Application Errors,Application Support Team,Morning,11,Monday,February,P2 - High
INC0000213,2016-02-29 11:25:00,2016-02-29 12:53:00,2 - Medium,1.4666666666666666,API Timeout,Security / Access Issues,Security Operations Team,Morning,11,Monday,February,P2 - High
INC0000217,2016-02-29 11:48:00,2016-03-08 09:27:00,2 - Medium,189.65,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,11,Monday,February,P2 - High
INC0000218,2016-02-29 11:53:00,2016-02-29 13:36:00,2 - Medium,1.7166666666666666,Authentication Failure,Network Issues,Network Operations Team,Morning,11,Monday,February,P2 - High
INC0000220,2016-02-29 11:56:00,2016-03-09 17:24:00,2 - Medium,221.46666666666667,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,11,Monday,February,P2 - High
INC0000221,2016-02-29 11:58:00,2016-03-02 14:06:00,2 - Medium,50.13333333333333,Disk Space Issue,Monitoring / Alerting,Monitoring & DevOps Team,Morning,11,Monday,February,P2 - High
INC0000223,2016-02-29 12:01:00,2016-03-03 08:57:00,2 - Medium,68.93333333333334,Network Failure,Security / Access Issues,Security Operations Team,Morning,12,Monday,February,P2 - High
INC0000228,2016-02-29 12:11:00,2016-02-29 16:08:00,2 - Medium,3.95,Data Corruption,Application Errors,Application Support Team,Morning,12,Monday,February,P2 - High
INC0000230,2016-02-29 12:14:00,2016-03-07 15:12:00,2 - Medium,170.96666666666667,Third-Party Service Failure,Security / Access Issues,Security Operations Team,Morning,12,Monday,February,P2 - High
INC0000232,2016-02-29 12:20:00,2016-03-12 21:23:00,3 - Low,297.05,API Timeout,Integration / API Issues,Integration Support Team,Morning,12,Monday,February,P3 - Medium
INC0000236,2016-02-29 12:26:00,2016-02-29 13:16:00,2 - Medium,0.8333333333333334,API Timeout,Integration / API Issues,Integration Support Team,Morning,12,Monday,February,P2 - High
INC0000237,2016-02-29 12:27:00,2016-03-01 14:04:00,2 - Medium,25.616666666666667,Third-Party Service Failure,Integration / API Issues,Integration Support Team,Morning,12,Monday,February,P2 - High
INC0000246,2016-02-29 12:41:00,2016-03-04 11:56:00,2 - Medium,95.25,Authentication Failure,Database Issues,Database Administration Team,Morning,12,Monday,February,P2 - High
INC0000250,2016-02-29 12:43:00,2016-03-12 21:30:00,2 - Medium,296.78333333333336,API Timeout,Security / Access Issues,Security Operations Team,Morning,12,Monday,February,P2 - High
INC0000253,2016-02-29 12:43:00,2016-03-02 09:08:00,2 - Medium,44.416666666666664,Authentication Failure,Application Errors,Application Support Team,Morning,12,Monday,February,P2 - High
INC0000257,2016-02-29 12:48:00,2016-02-29 22:28:00,2 - Medium,9.666666666666666,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,12,Monday,February,P2 - High
INC0000259,2016-02-29 12:50:00,2016-03-02 10:39:00,2 - Medium,45.81666666666667,Data Corruption,Network Issues,Network Operations Team,Morning,12,Monday,February,P2 - High
INC0000260,2016-02-29 12:52:00,2016-03-03 15:09:00,2 - Medium,74.28333333333333,Memory Leak,Database Issues,Database Administration Team,Morning,12,Monday,February,P2 - High
INC0000261,2016-02-29 12:54:00,2016-02-29 17:47:00,1 - High,4.883333333333334,Network Failure,Integration / API Issues,Integration Support Team,Morning,12,Monday,February,P1 - Critical
INC0000262,2016-02-29 12:59:00,2016-03-02 09:21:00,2 - Medium,44.36666666666667,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,12,Monday,February,P2 - High
INC0000265,2016-02-29 13:14:00,2016-03-02 15:29:00,2 - Medium,50.25,Memory Leak,Database Issues,Database Administration Team,Morning,13,Monday,February,P2 - High
INC0000266,2016-02-29 13:18:00,2016-03-04 16:24:00,2 - Medium,99.1,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,13,Monday,February,P2 - High
INC0000268,2016-02-29 13:24:00,2016-03-09 08:46:00,2 - Medium,211.36666666666667,Authentication Failure,Network Issues,Network Operations Team,Morning,13,Monday,February,P2 - High
INC0000272,2016-02-29 13:36:00,2016-03-08 15:35:00,3 - Low,193.98333333333332,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,13,Monday,February,P3 - Medium
INC0000273,2016-02-29 13:36:00,2016-03-04 14:38:00,2 - Medium,97.03333333333333,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,13,Monday,February,P2 - High
INC0000278,2016-02-29 13:48:00,2016-02-29 14:46:00,2 - Medium,0.9666666666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,13,Monday,February,P2 - High
INC0000279,2016-02-29 13:50:00,2016-03-02 01:03:00,2 - Medium,35.21666666666667,Database Issue,Database Issues,Database Administration Team,Morning,13,Monday,February,P2 - High
INC0000280,2016-02-29 13:50:00,2016-03-07 19:57:00,2 - Medium,174.11666666666667,Authentication Failure,Database Issues,Database Administration Team,Morning,13,Monday,February,P2 - High
INC0000282,2016-02-29 13:52:00,2016-03-03 12:34:00,2 - Medium,70.7,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,13,Monday,February,P2 - High
INC0000283,2016-02-29 13:54:00,2016-03-01 09:26:00,2 - Medium,19.533333333333335,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,13,Monday,February,P2 - High
INC0000284,2016-02-29 13:55:00,2016-03-02 11:57:00,2 - Medium,46.03333333333333,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,13,Monday,February,P2 - High
INC0000285,2016-02-29 13:56:00,2016-03-02 00:55:00,2 - Medium,34.983333333333334,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,13,Monday,February,P2 - High
INC0000286,2016-02-29 13:56:00,2016-03-03 16:07:00,2 - Medium,74.18333333333334,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,13,Monday,February,P2 - High
INC0000292,2016-02-29 14:04:00,2016-03-02 09:57:00,3 - Low,43.88333333333333,Authentication Failure,Database Issues,Database Administration Team,Morning,14,Monday,February,P3 - Medium
INC0000294,2016-02-29 14:06:00,2016-03-14 08:25:00,2 - Medium,330.31666666666666,Authentication Failure,Database Issues,Database Administration Team,Morning,14,Monday,February,P2 - High
INC0000295,2016-02-29 14:09:00,2016-03-04 09:33:00,2 - Medium,91.4,Configuration Error,Database Issues,Database Administration Team,Morning,14,Monday,February,P2 - High
INC0000297,2016-02-29 14:15:00,2016-03-04 09:34:00,2 - Medium,91.31666666666666,Configuration Error,Database Issues,Database Administration Team,Morning,14,Monday,February,P2 - High
INC0000298,2016-02-29 14:16:00,2016-11-25 08:07:00,3 - Low,6473.85,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,14,Monday,February,P3 - Medium
INC0000301,2016-02-29 14:22:00,2016-03-01 11:35:00,2 - Medium,21.216666666666665,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P2 - High
INC0000302,2016-02-29 14:23:00,2016-03-22 12:57:00,2 - Medium,526.5666666666667,Authentication Failure,Database Issues,Database Administration Team,Morning,14,Monday,February,P2 - High
INC0000303,2016-02-29 14:23:00,2016-03-10 17:47:00,3 - Low,243.4,API Timeout,Security / Access Issues,Security Operations Team,Morning,14,Monday,February,P3 - Medium
INC0000304,2016-02-29 14:25:00,2016-03-03 15:09:00,2 - Medium,72.73333333333333,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,14,Monday,February,P2 - High
INC0000305,2016-02-29 14:28:00,2016-03-04 14:41:00,2 - Medium,96.21666666666667,Authentication Failure,Security / Access Issues,Security Operations Team,Morning,14,Monday,February,P2 - High
INC0000306,2016-02-29 14:28:00,2016-03-02 16:48:00,2 - Medium,50.333333333333336,API Timeout,Application Errors,Application Support Team,Morning,14,Monday,February,P2 - High
INC0000307,2016-02-29 14:30:00,2016-12-19 14:55:00,3 - Low,7056.416666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000310,2016-02-29 14:33:00,2016-03-01 13:47:00,3 - Low,23.233333333333334,Server Overload,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000315,2016-02-29 14:37:00,2016-03-07 09:12:00,2 - Medium,162.58333333333334,Hardware Failure,Application Errors,Application Support Team,Morning,14,Monday,February,P2 - High
INC0000317,2016-02-29 14:40:00,2016-04-25 17:06:00,3 - Low,1346.4333333333334,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000318,2016-02-29 14:43:00,2016-03-28 12:10:00,3 - Low,669.45,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000319,2016-02-29 14:44:00,2016-03-02 15:12:00,2 - Medium,48.46666666666667,Authentication Failure,Server Infrastructure,Infrastructure Operations Team,Morning,14,Monday,February,P2 - High
INC0000324,2016-02-29 14:47:00,2016-06-16 09:34:00,2 - Medium,2586.7833333333333,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P2 - High
INC0000325,2016-02-29 14:49:00,2016-03-16 08:56:00,3 - Low,378.1166666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000329,2016-02-29 14:50:00,2016-03-16 11:38:00,2 - Medium,380.8,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P2 - High
INC0000330,2016-02-29 14:52:00,2016-03-18 13:44:00,3 - Low,430.8666666666667,API Timeout,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000332,2016-02-29 14:53:00,2016-03-09 10:50:00,2 - Medium,211.95,API Timeout,Application Errors,Application Support Team,Morning,14,Monday,February,P2 - High
INC0000333,2016-02-29 14:56:00,2016-04-29 09:41:00,3 - Low,1434.75,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,14,Monday,February,P3 - Medium
INC0000336,2016-02-29 15:03:00,2016-03-10 17:27:00,3 - Low,242.4,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P3 - Medium
INC0000337,2016-02-29 15:07:00,2016-05-30 12:23:00,2 - Medium,2181.266666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P2 - High
INC0000338,2016-02-29 15:10:00,2016-04-05 14:18:00,3 - Low,863.1333333333333,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P3 - Medium
INC0000339,2016-02-29 15:12:00,2016-02-29 16:17:00,2 - Medium,1.0833333333333333,Configuration Error,Application Errors,Application Support Team,Morning,15,Monday,February,P2 - High
INC0000341,2016-02-29 15:13:00,2016-08-02 14:33:00,3 - Low,3719.3333333333335,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P3 - Medium
INC0000343,2016-02-29 15:14:00,2016-12-22 09:31:00,2 - Medium,7122.283333333334,Network Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P2 - High
INC0000345,2016-02-29 15:17:00,2016-03-01 16:00:00,2 - Medium,24.716666666666665,API Timeout,Application Errors,Application Support Team,Morning,15,Monday,February,P2 - High
INC0000346,2016-02-29 15:17:00,2016-04-29 09:45:00,2 - Medium,1434.4666666666667,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P2 - High
INC0000347,2016-02-29 15:21:00,2016-03-03 09:14:00,2 - Medium,65.88333333333334,Configuration Error,Monitoring / Alerting,Monitoring & DevOps Team,Morning,15,Monday,February,P2 - High
INC0000348,2016-02-29 15:22:00,2016-04-18 09:44:00,2 - Medium,1170.3666666666666,Authentication Failure,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P2 - High
INC0000351,2016-02-29 15:24:00,2016-03-21 16:11:00,3 - Low,504.78333333333336,Server Overload,Integration / API Issues,Integration Support Team,Morning,15,Monday,February,P3 - Medium
